"Title","Type","Circulation","Price","Year","Month","Date"
"Black Mask","Pulp","58,618","0.00","1925","8","01 Aug 1925"
"Black Mask","Pulp","63,224","0.00","1925","9","01 Sep 1925"
"Black Mask","Pulp","61,929","0.00","1925","10","01 Oct 1925"
"Black Mask","Pulp","65,231","0.00","1925","11","01 Nov 1925"
"Black Mask","Pulp","61,738","0.00","1925","12","01 Dec 1925"
"Black Mask","Pulp","68,816","0.00","1926","1","01 Jan 1926"
"Black Mask","Pulp","78,230","0.00","1926","2","01 Feb 1926"
"Black Mask","Pulp","71,993","0.00","1926","3","01 Mar 1926"
"Black Mask","Pulp","72,647","0.00","1926","4","01 Apr 1926"
"Black Mask","Pulp","52,815","0.00","1926","5","01 May 1926"
"Black Mask","Pulp","52,822","0.00","1926","6","01 Jun 1926"
"Black Mask","Pulp","57,282","0.00","1926","7","01 Jul 1926"
"Black Mask","Pulp","70,047","0.00","1926","8","01 Aug 1926"
"Black Mask","Pulp","80,586","0.00","1926","9","01 Sep 1926"
"Black Mask","Pulp","72,957","0.00","1926","10","01 Oct 1926"
"Black Mask","Pulp","69,693","0.00","1926","11","01 Nov 1926"
"Black Mask","Pulp","79,210","0.00","1926","12","01 Dec 1926"
"Black Mask","Pulp","71,431","0.00","1927","7","01 Jul 1927"
"Black Mask","Pulp","77,846","0.00","1927","8","01 Aug 1927"
"Black Mask","Pulp","91,912","0.00","1927","9","01 Sep 1927"
"Black Mask","Pulp","84,160","0.00","1927","10","01 Oct 1927"
"Black Mask","Pulp","80,236","0.00","1927","11","01 Nov 1927"
"Black Mask","Pulp","95,269","0.00","1927","12","01 Dec 1927"
"Black Mask","Pulp","106,417","0.00","1928","1","01 Jan 1928"
"Black Mask","Pulp","94,279","0.00","1928","2","01 Feb 1928"
"Black Mask","Pulp","85,904","0.00","1928","3","01 Mar 1928"
"Black Mask","Pulp","90,901","0.00","1928","4","01 Apr 1928"
"Black Mask","Pulp","89,132","0.00","1928","5","01 May 1928"
"Black Mask","Pulp","90,333","0.00","1928","6","01 Jun 1928"
"Black Mask","Pulp","83,755","0.00","1928","7","01 Jul 1928"
"Black Mask","Pulp","93,542","0.00","1928","8","01 Aug 1928"
"Black Mask","Pulp","106,097","0.00","1928","9","01 Sep 1928"
"Black Mask","Pulp","95,498","0.00","1928","10","01 Oct 1928"
"Black Mask","Pulp","97,750","0.00","1928","11","01 Nov 1928"
"Black Mask","Pulp","95,834","0.00","1928","12","01 Dec 1928"
"Black Mask","Pulp","104,848","0.00","1929","1","01 Jan 1929"
"Black Mask","Pulp","112,015","0.00","1929","2","01 Feb 1929"
"Black Mask","Pulp","94,693","0.00","1929","3","01 Mar 1929"
"Black Mask","Pulp","105,885","0.00","1929","4","01 Apr 1929"
"Black Mask","Pulp","95,503","0.00","1929","5","01 May 1929"
"Black Mask","Pulp","102,430","0.00","1929","6","01 Jun 1929"
"Black Mask","Pulp","100,088","0.00","1929","7","01 Jul 1929"
"Black Mask","Pulp","93,606","0.00","1929","8","01 Aug 1929"
"Black Mask","Pulp","123,733","0.00","1929","9","01 Sep 1929"
"Black Mask","Pulp","119,431","0.00","1929","10","01 Oct 1929"
"Black Mask","Pulp","123,461","0.00","1929","11","01 Nov 1929"
"Black Mask","Pulp","124,463","0.00","1929","12","01 Dec 1929"
"Black Mask","Pulp","116,647","0.00","1930","1","01 Jan 1930"
"Black Mask","Pulp","110,681","0.00","1930","2","01 Feb 1930"
"Black Mask","Pulp","105,039","0.00","1930","3","01 Mar 1930"
"Black Mask","Pulp","102,204","0.00","1930","4","01 Apr 1930"
"Black Mask","Pulp","86,519","0.00","1930","5","01 May 1930"
"Black Mask","Pulp","96,505","0.00","1930","6","01 Jun 1930"
"Black Mask","Pulp","89,876","0.00","1930","7","01 Jul 1930"
"Black Mask","Pulp","98,607","0.00","1930","8","01 Aug 1930"
"Black Mask","Pulp","92,744","0.00","1930","9","01 Sep 1930"
"Black Mask","Pulp","86,509","0.00","1930","10","01 Oct 1930"
"Black Mask","Pulp","85,503","0.00","1930","11","01 Nov 1930"
"Black Mask","Pulp","87,477","0.00","1930","12","01 Dec 1930"
"Black Mask","Pulp","77,533","0.00","1931","1","01 Jan 1931"
"Black Mask","Pulp","76,192","0.00","1931","2","01 Feb 1931"
"Black Mask","Pulp","72,054","0.00","1931","3","01 Mar 1931"
"Black Mask","Pulp","72,525","0.00","1931","4","01 Apr 1931"
"Black Mask","Pulp","68,923","0.00","1931","5","01 May 1931"
"Black Mask","Pulp","68,421","0.00","1931","6","01 Jun 1931"
"Black Mask","Pulp","64,036","0.00","1931","7","01 Jul 1931"
"Black Mask","Pulp","72,853","0.00","1931","8","01 Aug 1931"
"Black Mask","Pulp","80,039","0.00","1931","9","01 Sep 1931"
"Black Mask","Pulp","73,898","0.00","1931","10","01 Oct 1931"
"Black Mask","Pulp","69,737","0.00","1931","11","01 Nov 1931"
"Black Mask","Pulp","74,434","0.00","1931","12","01 Dec 1931"
"Black Mask","Pulp","73,297","0.00","1932","1","01 Jan 1932"
"Black Mask","Pulp","67,407","0.00","1932","2","01 Feb 1932"
"Black Mask","Pulp","63,449","0.00","1932","3","01 Mar 1932"
"Black Mask","Pulp","62,979","0.00","1932","4","01 Apr 1932"
"Black Mask","Pulp","57,991","0.00","1932","5","01 May 1932"
"Black Mask","Pulp","52,416","0.00","1932","6","01 Jun 1932"
"Black Mask","Pulp","52,463","0.00","1932","7","01 Jul 1932"
"Black Mask","Pulp","54,594","0.00","1932","8","01 Aug 1932"
"Black Mask","Pulp","58,215","0.00","1932","9","01 Sep 1932"
"Black Mask","Pulp","58,707","0.00","1932","10","01 Oct 1932"
"Black Mask","Pulp","53,709","0.00","1932","11","01 Nov 1932"
"Black Mask","Pulp","54,712","0.00","1932","12","01 Dec 1932"
"Black Mask","Pulp","59,534","0.00","1933","1","01 Jan 1933"
"Black Mask","Pulp","51,581","0.00","1933","2","01 Feb 1933"
"Black Mask","Pulp","46,139","0.00","1933","3","01 Mar 1933"
"Black Mask","Pulp","47,842","0.00","1933","4","01 Apr 1933"
"Black Mask","Pulp","43,023","0.00","1933","5","01 May 1933"
"Black Mask","Pulp","38,943","0.00","1933","6","01 Jun 1933"
"Black Mask","Pulp","47,882","0.00","1933","7","01 Jul 1933"
"Black Mask","Pulp","47,043","0.00","1933","8","01 Aug 1933"
"Black Mask","Pulp","59,238","0.00","1933","9","01 Sep 1933"
"Black Mask","Pulp","53,471","0.00","1933","10","01 Oct 1933"
"Black Mask","Pulp","60,139","0.00","1933","11","01 Nov 1933"
"Black Mask","Pulp","54,041","0.00","1933","12","01 Dec 1933"
"Black Mask","Pulp","53,562","0.00","1934","1","01 Jan 1934"
"Black Mask","Pulp","47,678","0.00","1934","2","01 Feb 1934"
"Black Mask","Pulp","47,615","0.00","1934","3","01 Mar 1934"
"Black Mask","Pulp","48,420","0.00","1934","4","01 Apr 1934"
"Black Mask","Pulp","42,462","0.00","1934","5","01 May 1934"
"Black Mask","Pulp","42,200","0.00","1934","6","01 Jun 1934"
"Black Mask","Pulp","46,160","0.00","1934","7","01 Jul 1934"
"Black Mask","Pulp","53,165","0.00","1934","8","01 Aug 1934"
"Black Mask","Pulp","70,298","0.00","1934","9","01 Sep 1934"
"Black Mask","Pulp","69,030","0.00","1934","10","01 Oct 1934"
"Black Mask","Pulp","70,611","0.00","1934","11","01 Nov 1934"
"Black Mask","Pulp","66,703","0.00","1934","12","01 Dec 1934"
"Black Mask","Pulp","69,554","0.00","1935","1","01 Jan 1935"
"Black Mask","Pulp","66,752","0.00","1935","2","01 Feb 1935"
"Black Mask","Pulp","62,311","0.00","1935","3","01 Mar 1935"
"Black Mask","Pulp","59,468","0.00","1935","4","01 Apr 1935"
"Black Mask","Pulp","64,134","0.00","1935","5","01 May 1935"
"Black Mask","Pulp","59,269","0.00","1935","6","01 Jun 1935"
"Black Mask","Pulp","56,418","0.00","1935","7","01 Jul 1935"
"Black Mask","Pulp","58,278","0.00","1935","8","01 Aug 1935"
"Black Mask","Pulp","69,391","0.00","1935","9","01 Sep 1935"
"Black Mask","Pulp","68,968","0.00","1935","10","01 Oct 1935"
"Black Mask","Pulp","69,181","0.00","1935","11","01 Nov 1935"
"Black Mask","Pulp","70,246","0.00","1935","12","01 Dec 1935"
"Black Mask","Pulp","72,258","0.00","1936","1","01 Jan 1936"
"Black Mask","Pulp","67,759","0.00","1936","2","01 Feb 1936"
"Black Mask","Pulp","64,802","0.00","1936","3","01 Mar 1936"
"Black Mask","Pulp","63,101","0.00","1936","4","01 Apr 1936"
"Black Mask","Pulp","60,363","0.00","1936","5","01 May 1936"
"Black Mask","Pulp","56,284","0.00","1936","6","01 Jun 1936"
"Black Mask","Pulp","60,791","0.00","1936","7","01 Jul 1936"
"Black Mask","Pulp","62,718","0.00","1936","8","01 Aug 1936"
"Black Mask","Pulp","66,193","0.00","1936","9","01 Sep 1936"
"Black Mask","Pulp","67,538","0.00","1936","10","01 Oct 1936"
"Black Mask","Pulp","64,410","0.00","1936","11","01 Nov 1936"
"Black Mask","Pulp","65,424","0.00","1936","12","01 Dec 1936"
"Black Mask","Pulp","71,914","0.00","1937","1","01 Jan 1937"
"Black Mask","Pulp","66,373","0.00","1937","2","01 Feb 1937"
"Black Mask","Pulp","64,527","0.00","1937","3","01 Mar 1937"
"Black Mask","Pulp","64,197","0.00","1937","4","01 Apr 1937"
"Black Mask","Pulp","57,072","0.00","1937","5","01 May 1937"
"Black Mask","Pulp","52,341","0.00","1937","6","01 Jun 1937"
"Black Mask","Pulp","52,408","0.00","1937","7","01 Jul 1937"
"Black Mask","Pulp","56,806","0.00","1937","8","01 Aug 1937"
"Black Mask","Pulp","60,036","0.00","1937","9","01 Sep 1937"
"Black Mask","Pulp","57,384","0.00","1937","10","01 Oct 1937"
"Black Mask","Pulp","57,677","0.00","1937","11","01 Nov 1937"
"Black Mask","Pulp","55,259","0.00","1937","12","01 Dec 1937"
"Black Mask","Pulp","57,344","0.00","1938","1","01 Jan 1938"
"Black Mask","Pulp","57,316","0.00","1938","2","01 Feb 1938"
"Black Mask","Pulp","55,891","0.00","1938","3","01 Mar 1938"
"Black Mask","Pulp","57,528","0.00","1938","4","01 Apr 1938"
"Black Mask","Pulp","50,928","0.00","1938","5","01 May 1938"
"Black Mask","Pulp","48,916","0.00","1938","6","01 Jun 1938"
"Black Mask","Pulp","61,111","0.00","1938","8","01 Aug 1938"
"Black Mask","Pulp","50,667","0.00","1938","9","01 Sep 1938"
"Black Mask","Pulp","48,831","0.00","1938","10","01 Oct 1938"
"Black Mask","Pulp","48,058","0.00","1938","11","01 Nov 1938"
"Black Mask","Pulp","55,965","0.00","1938","12","01 Dec 1938"
"Black Mask","Pulp","48,906","0.00","1939","1","01 Jan 1939"
"Black Mask","Pulp","53,690","0.00","1939","2","01 Feb 1939"
"Black Mask","Pulp","46,427","0.00","1939","3","01 Mar 1939"
"Black Mask","Pulp","44,953","0.00","1939","4","01 Apr 1939"
"Black Mask","Pulp","44,930","0.00","1939","5","01 May 1939"
"Black Mask","Pulp","40,862","0.00","1939","6","01 Jun 1939"
"Black Mask","Pulp","45,211","0.00","1939","7","01 Jul 1939"
"Black Mask","Pulp","30,925","0.00","1939","8","01 Aug 1939"
"Black Mask","Pulp","52,179","0.00","1939","9","01 Sep 1939"
"Black Mask","Pulp","45,319","0.00","1939","10","01 Oct 1939"
"Black Mask","Pulp","47,870","0.00","1939","11","01 Nov 1939"
"Black Mask","Pulp","47,370","0.00","1939","12","01 Dec 1939"
"Black Mask","Pulp","39,249","0.00","1940","1","01 Jan 1940"
"Black Mask","Pulp","45,032","0.00","1940","2","01 Feb 1940"
"Black Mask","Pulp","36,453","0.00","1940","3","01 Mar 1940"
"Black Mask","Pulp","45,050","0.00","1940","4","01 Apr 1940"